device cuda n_gpu 1 distributed training False
***** Running training *****
  Batch size = 2
  Num steps = 1783
step: 10 | train loss: 0.023583166301250458 | train acc 0.41709402203559875
step: 10 | train loss: 0.015577937476336956 | train acc 0.5789473652839661
step: 20 | train loss: 0.011127110570669174 | train acc 0.7114285826683044
step: 20 | train loss: 0.007173292338848114 | train acc 0.7692307829856873
step: 30 | train loss: 0.011845095083117485 | train acc 0.7368420958518982
step: 30 | train loss: 0.013673988170921803 | train acc 0.6578947305679321
step: 40 | train loss: 0.008748616091907024 | train acc 0.7716763019561768
step: 40 | train loss: 0.007609290536493063 | train acc 0.7222222089767456
step: 50 | train loss: 0.006693942937999964 | train acc 0.8230884671211243
step: 50 | train loss: 0.0035178952384740114 | train acc 0.8974359035491943
step: 60 | train loss: 0.007661627139896154 | train acc 0.8014285564422607
step: 60 | train loss: 0.008079309947788715 | train acc 0.8484848737716675
step: 70 | train loss: 0.008005059324204922 | train acc 0.8368932008743286
step: 70 | train loss: 0.006056761834770441 | train acc 0.8461538553237915
step: 80 | train loss: 0.005957997404038906 | train acc 0.8536232113838196
step: 80 | train loss: 0.0031912962440401316 | train acc 0.9142857193946838
step: 90 | train loss: 0.006758942734450102 | train acc 0.8394697904586792
step: 90 | train loss: 0.007432193495333195 | train acc 0.8787878751754761
step: 100 | train loss: 0.005886974278837442 | train acc 0.848870038986206
step: 100 | train loss: 0.004811258055269718 | train acc 0.8500000238418579
step: 110 | train loss: 0.007188831921666861 | train acc 0.8133515119552612
step: 110 | train loss: 0.005832554306834936 | train acc 0.824999988079071
step: 120 | train loss: 0.0078045385889709 | train acc 0.8217967748641968
step: 120 | train loss: 0.005232314579188824 | train acc 0.875
step: 130 | train loss: 0.006305391434580088 | train acc 0.8489096164703369
step: 130 | train loss: 0.0046465639024972916 | train acc 0.9090909361839294
step: 140 | train loss: 0.007627722341567278 | train acc 0.8621236681938171
step: 140 | train loss: 0.00514353159815073 | train acc 0.8108108043670654
step: 150 | train loss: 0.006683940999209881 | train acc 0.8312056660652161
step: 150 | train loss: 0.005956505425274372 | train acc 0.8235294222831726
step: 160 | train loss: 0.006206848658621311 | train acc 0.8380681872367859
step: 160 | train loss: 0.004244101699441671 | train acc 0.9210526347160339
step: 170 | train loss: 0.006787825375795364 | train acc 0.8258345127105713
step: 170 | train loss: 0.008551283739507198 | train acc 0.8205128312110901
step: 180 | train loss: 0.006517942063510418 | train acc 0.852173924446106
step: 180 | train loss: 0.003145243041217327 | train acc 0.8974359035491943
step: 190 | train loss: 0.007258754689246416 | train acc 0.8017492890357971
step: 190 | train loss: 0.003384028095752001 | train acc 0.8717948794364929
step: 200 | train loss: 0.006703278981149197 | train acc 0.8534923195838928
step: 200 | train loss: 0.009048373438417912 | train acc 0.7435897588729858
step: 210 | train loss: 0.0070404913276433945 | train acc 0.851311981678009
step: 210 | train loss: 0.00791184976696968 | train acc 0.8000000715255737
step: 220 | train loss: 0.004496736917644739 | train acc 0.8841201663017273
step: 220 | train loss: 0.004164958838373423 | train acc 0.8717948794364929
step: 230 | train loss: 0.005587134510278702 | train acc 0.8473609089851379
step: 230 | train loss: 0.003134877420961857 | train acc 0.9473684430122375
step: 240 | train loss: 0.005516381002962589 | train acc 0.8488211035728455
step: 240 | train loss: 0.002549199853092432 | train acc 0.9375
step: 250 | train loss: 0.005018987227231264 | train acc 0.8632596731185913
step: 250 | train loss: 0.0047506061382591724 | train acc 0.8461538553237915
step: 260 | train loss: 0.007499607279896736 | train acc 0.8470790386199951
step: 260 | train loss: 0.002997353672981262 | train acc 0.944444477558136
