device cuda n_gpu 1 distributed training False
***** Running training *****
  Batch size = 4
  Num steps = 1812
step: 10 | train loss: 0.013238435611128807 | train acc 0.6775510311126709
step: 20 | train loss: 0.011572107672691345 | train acc 0.7068493366241455
step: 30 | train loss: 0.010438826866447926 | train acc 0.7355371713638306
step: 40 | train loss: 0.010177784599363804 | train acc 0.717391312122345
step: 50 | train loss: 0.009278054349124432 | train acc 0.7609618306159973
step: 60 | train loss: 0.010328666307032108 | train acc 0.7208333611488342
step: 70 | train loss: 0.012874370440840721 | train acc 0.6741741895675659
step: 80 | train loss: 0.01089728157967329 | train acc 0.6819406747817993
step: 90 | train loss: 0.01155970711261034 | train acc 0.716438353061676
step: 100 | train loss: 0.010218770243227482 | train acc 0.7176634073257446
step: 110 | train loss: 0.009060614742338657 | train acc 0.7649456858634949
step: 120 | train loss: 0.011556712910532951 | train acc 0.6894150376319885
step: 130 | train loss: 0.012718708254396915 | train acc 0.672386884689331
step: 140 | train loss: 0.011468685232102871 | train acc 0.6662107110023499
step: 150 | train loss: 0.01155412383377552 | train acc 0.6868829727172852
step: 160 | train loss: 0.010188656859099865 | train acc 0.7173333168029785
step: 170 | train loss: 0.01139318011701107 | train acc 0.6925170421600342
step: 180 | train loss: 0.012319567613303661 | train acc 0.6625173091888428
step: 190 | train loss: 0.010257752612233162 | train acc 0.7111716270446777
step: 200 | train loss: 0.012595577165484428 | train acc 0.6629921197891235
step: 210 | train loss: 0.01145540364086628 | train acc 0.7026647925376892
step: 220 | train loss: 0.01151690911501646 | train acc 0.6647966504096985
step: 230 | train loss: 0.010186419822275639 | train acc 0.6887685656547546
step: 240 | train loss: 0.010745128616690636 | train acc 0.6844261884689331
step: 250 | train loss: 0.009394284337759018 | train acc 0.72691810131073
step: 260 | train loss: 0.010513996705412865 | train acc 0.6984785795211792
step: 270 | train loss: 0.010969080962240696 | train acc 0.6811988949775696
step: 280 | train loss: 0.010774197056889534 | train acc 0.6847826242446899
step: 290 | train loss: 0.010916552506387234 | train acc 0.688022255897522
step: 300 | train loss: 0.011127318255603313 | train acc 0.6952908635139465
step: 310 | train loss: 0.010121198371052742 | train acc 0.7286713719367981
step: 320 | train loss: 0.0096872104331851 | train acc 0.7529239654541016
step: 330 | train loss: 0.010274074971675873 | train acc 0.7467249035835266
step: 340 | train loss: 0.00975769478827715 | train acc 0.7266576290130615
step: 350 | train loss: 0.009873631410300732 | train acc 0.7385444641113281
step: 360 | train loss: 0.009605768136680126 | train acc 0.7327001690864563
